,Login,Subscription,Image Generation,Voice Mode,Performance
mentions,178.0,3378.0,3060.0,1848.0,1534.0
avg_score,2.095505617977528,2.9875666074600353,3.100653594771242,3.463744588744589,3.713820078226858
low_star_pct,72.47191011235955,43.013617525162815,38.169934640522875,30.14069264069264,24.641460234680572
